"time","eflow2.integratorPos.y","eflow2.integratorNeg.y","eflow1.integratorPos.y","eflow1.integratorNeg.y","der(eflow2.integratorPos.y)","der(eflow2.integratorNeg.y)","der(eflow1.integratorPos.y)","der(eflow1.integratorNeg.y)","sin1.u","sin1.y","etaconst1.y","etaconst1.posNegSwitch.u1","etaconst1.posNegSwitch.u3","gain1.u","eflow2.limiterNeg.y","eflow2.limiterPos.y","eflow1.limiterNeg.y","eflow1.limiterPos.y","etaconst1.posNegSwitch.u2","etaconst1.Null.y","etaconst1.posEta.y","etaconst1.negEta.y","etaconst1.posNegSwitch.y","etaconst1.greaterequal1.u2","etaconst1.greaterequal1.u1","etaconst1.negEta.u","etaconst1.posEta.u","eflow2.integratorPos.u","eflow2.limiterNeg.u","eflow2.limiterPos.u","eflow2.Eneg","eflow2.integratorNeg.u","eflow2.Epos","eflow1.integratorPos.u","eflow1.limiterNeg.u","eflow1.limiterPos.u","eflow1.Eneg","eflow1.integratorNeg.u","eflow1.Epos","eflow1.u","etaconst1.u","eflow2.u","clock1.y","gain1.y","etaconst1.greaterequal1.y",
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9.5367431640625e-10,8.582797786273379e-12,8.582797786273379e-12,9.536441984747759e-12,9.536441984747759e-12,8.583068847656251e-09,0,9.5367431640625e-09,0,9.5367431640625e-09,9.5367431640625e-09,8.583068847656251e-09,8.583068847656251e-09,1.059638129340278e-08,9.5367431640625e-10,0,8.583068847656251e-09,0,9.5367431640625e-09,1,9.536441984747759e-12,8.583068847656251e-09,1.059638129340278e-08,8.583068847656251e-09,9.536441984747759e-12,9.5367431640625e-09,9.5367431640625e-09,9.5367431640625e-09,8.583068847656251e-09,8.583068847656251e-09,8.583068847656251e-09,8.582797786273379e-12,0,8.582797786273379e-12,9.5367431640625e-09,9.5367431640625e-09,9.5367431640625e-09,9.536441984747759e-12,0,9.536441984747759e-12,9.5367431640625e-09,9.5367431640625e-09,8.583068847656251e-09,9.5367431640625e-10,9.5367431640625e-09,1,
0.002,1.799944012588447e-05,8.582797786273379e-12,1.999937791765209e-05,9.536441984747759e-12,0.01799880002399977,0,0.01999866669333308,0,0.02,0.01999866669333308,0.01799880002399977,0.01799880002399977,0.02222074077037009,0.002,0,0.01799880002399977,0,0.01999866669333308,1,9.536441984747759e-12,0.01799880002399977,0.02222074077037009,0.01799880002399977,9.536441984747759e-12,0.01999866669333308,0.01999866669333308,0.01999866669333308,0.01799880002399977,0.01799880002399977,0.01799880002399977,8.582797786273379e-12,0,1.799944012588447e-05,0.01999866669333308,0.01999866669333308,0.01999866669333308,9.536441984747759e-12,0,1.999937791765209e-05,0.01999866669333308,0.01999866669333308,0.01799880002399977,0.002,0.02,1,
0.004,7.198614702103354e-05,8.582797786273379e-12,7.998460780115203e-05,9.536441984747759e-12,0.03599040076797075,0,0.03998933418663416,0,0.04,0.03998933418663416,0.03599040076797075,0.03599040076797075,0.04443259354070463,0.004,0,0.03599040076797075,0,0.03998933418663416,1,9.536441984747759e-12,0.03599040076797075,0.04443259354070463,0.03599040076797075,9.536441984747759e-12,0.03998933418663416,0.03998933418663416,0.03998933418663416,0.03599040076797075,0.03599040076797075,0.03599040076797075,8.582797786273379e-12,0,7.198614702103354e-05,0.03998933418663416,0.03998933418663416,0.03998933418663416,9.536441984747759e-12,0,7.998460780115203e-05,0.03998933418663416,0.03998933418663416,0.03599040076797075,0.004,0.04,1,
0.006,0.0001619118617759057,8.582797786273379e-12,0.0001799020686398998,9.536441984747759e-12,0.05396760583150013,0,0.0599640064794446,0,0.06,0.0599640064794446,0.05396760583150013,0.05396760583150013,0.06662667386604955,0.006,0,0.05396760583150013,0,0.0599640064794446,1,9.536441984747759e-12,0.05396760583150013,0.06662667386604955,0.05396760583150013,9.536441984747759e-12,0.0599640064794446,0.0599640064794446,0.0599640064794446,0.05396760583150013,0.05396760583150013,0.05396760583150013,8.582797786273379e-12,0,0.0001619118617759057,0.0599640064794446,0.0599640064794446,0.0599640064794446,9.536441984747759e-12,0,0.0001799020686398998,0.0599640064794446,0.0599640064794446,0.05396760583150013,0.006,0.06,1,
0.008,0.0002877727875116039,8.582797786273379e-12,0.0003197475416795661,9.536441984747759e-12,0.07192322457225543,0,0.0799146939691727,0,0.08,0.0799146939691727,0.07192322457225543,0.07192322457225543,0.08879410441019189,0.008,0,0.07192322457225543,0,0.0799146939691727,1,9.536441984747759e-12,0.07192322457225543,0.08879410441019189,0.07192322457225543,9.536441984747759e-12,0.0799146939691727,0.0799146939691727,0.0799146939691727,0.07192322457225543,0.07192322457225543,0.07192322457225543,8.582797786273379e-12,0,0.0002877727875116039,0.0799146939691727,0.0799146939691727,0.0799146939691727,9.536441984747759e-12,0,0.0003197475416795661,0.0799146939691727,0.0799146939691727,0.07192322457225543,0.008,0.08,1,
0.01,0.0004494619204882305,8.582797786273379e-12,0.0004994021338760772,9.536441984747759e-12,0.08985007498214534,0,0.09983341664682815,0,0.1,0.09983341664682815,0.08985007498214534,0.08985007498214534,0.1109260184964757,0.01,0,0.08985007498214534,0,0.09983341664682815,1,9.536441984747759e-12,0.08985007498214534,0.1109260184964757,0.08985007498214534,9.536441984747759e-12,0.09983341664682815,0.09983341664682815,0.09983341664682815,0.08985007498214534,0.08985007498214534,0.08985007498214534,8.582797786273379e-12,0,0.0004494619204882305,0.09983341664682815,0.09983341664682815,0.09983341664682815,9.536441984747759e-12,0,0.0004994021338760772,0.09983341664682815,0.09983341664682815,0.08985007498214534,0.01,0.1,1,
0.012,0.0006469989570362665,8.582797786273379e-12,0.0007188877300410323,9.536441984747759e-12,0.1077409865600274,0,0.1197122072889194,0,0.12,0.1197122072889194,0.1077409865600274,0.1077409865600274,0.1330135636543548,0.012,0,0.1077409865600274,0,0.1197122072889194,1,9.536441984747759e-12,0.1077409865600274,0.1330135636543548,0.1077409865600274,9.536441984747759e-12,0.1197122072889194,0.1197122072889194,0.1197122072889194,0.1077409865600274,0.1077409865600274,0.1077409865600274,8.582797786273379e-12,0,0.0006469989570362665,0.1197122072889194,0.1197122072889194,0.1197122072889194,9.536441984747759e-12,0,0.0007188877300410323,0.1197122072889194,0.1197122072889194,0.1077409865600274,0.012,0.12,1,
0.014,0.0008802029393865797,8.582797786273379e-12,0.0009780032659865382,9.536441984747759e-12,0.1255888031798129,0,0.1395431146442365,0,0.14,0.1395431146442365,0.1255888031798129,0.1255888031798129,0.1550479051602628,0.014,0,0.1255888031798129,0,0.1395431146442365,1,9.536441984747759e-12,0.1255888031798129,0.1550479051602628,0.1255888031798129,9.536441984747759e-12,0.1395431146442365,0.1395431146442365,0.1395431146442365,0.1255888031798129,0.1255888031798129,0.1255888031798129,8.582797786273379e-12,0,0.0008802029393865797,0.1395431146442365,0.1395431146442365,0.1395431146442365,9.536441984747759e-12,0,0.0009780032659865382,0.1395431146442365,0.1395431146442365,0.1255888031798129,0.014,0.14,1,
0.016,0.001149090308299419,8.582797786273379e-12,0.001276767009223978,9.536441984747759e-12,0.1433863859528214,0,0.159318206614246,0,0.16,0.159318206614246,0.1433863859528214,0.1433863859528214,0.1770202295713844,0.016,0,0.1433863859528214,0,0.159318206614246,1,9.536441984747759e-12,0.1433863859528214,0.1770202295713844,0.1433863859528214,9.536441984747759e-12,0.159318206614246,0.159318206614246,0.159318206614246,0.1433863859528214,0.1433863859528214,0.1433863859528214,8.582797786273379e-12,0,0.001149090308299419,0.159318206614246,0.159318206614246,0.159318206614246,9.536441984747759e-12,0,0.001276767009223978,0.159318206614246,0.159318206614246,0.1433863859528214,0.016,0.16,1,
0.018,0.001453438110435155,8.582797786273379e-12,0.00161493123382041,9.536441984747759e-12,0.1611266160832418,0,0.1790295734258242,0,0.18,0.1790295734258242,0.1611266160832418,0.1611266160832418,0.1989217482509158,0.018,0,0.1611266160832418,0,0.1790295734258242,1,9.536441984747759e-12,0.1611266160832418,0.1989217482509158,0.1611266160832418,9.536441984747759e-12,0.1790295734258242,0.1790295734258242,0.1790295734258242,0.1611266160832418,0.1611266160832418,0.1611266160832418,8.582797786273379e-12,0,0.001453438110435155,0.1790295734258242,0.1790295734258242,0.1790295734258242,9.536441984747759e-12,0,0.00161493123382041,0.1790295734258242,0.1790295734258242,0.1611266160832418,0.018,0.18,1,
0.02,0.001793241776765269,8.582797786273379e-12,0.001992490863077478,9.536441984747759e-12,0.1788023977155551,0,0.1986693307950612,0,0.2,0.1986693307950612,0.1788023977155551,0.1788023977155551,0.2207437008834014,0.02,0,0.1788023977155551,0,0.1986693307950612,1,9.536441984747759e-12,0.1788023977155551,0.2207437008834014,0.1788023977155551,9.536441984747759e-12,0.1986693307950612,0.1986693307950612,0.1986693307950612,0.1788023977155551,0.1788023977155551,0.1788023977155551,8.582797786273379e-12,0,0.001793241776765269,0.1986693307950612,0.1986693307950612,0.1986693307950612,9.536441984747759e-12,0,0.001992490863077478,0.1986693307950612,0.1986693307950612,0.1788023977155551,0.02,0.2,1,
0.02200000000000001,0.002168352025957354,8.582797786273379e-12,0.00240928002884762,9.536441984747759e-12,0.1964066607727824,0,0.2182296230808694,0,0.2200000000000001,0.2182296230808694,0.1964066607727824,0.1964066607727824,0.2424773589787438,0.02200000000000001,0,0.1964066607727824,0,0.2182296230808694,1,9.536441984747759e-12,0.1964066607727824,0.2424773589787438,0.1964066607727824,9.536441984747759e-12,0.2182296230808694,0.2182296230808694,0.2182296230808694,0.1964066607727824,0.1964066607727824,0.1964066607727824,8.582797786273379e-12,0,0.002168352025957354,0.2182296230808694,0.2182296230808694,0.2182296230808694,9.536441984747759e-12,0,0.00240928002884762,0.2182296230808694,0.2182296230808694,0.1964066607727824,0.02200000000000001,0.2200000000000001,1,
0.02400000000000001,0.002578622536531124,8.582797786273379e-12,0.002865136151707936,9.536441984747759e-12,0.2139323637844212,0,0.2377026264271347,0,0.2400000000000001,0.2377026264271347,0.2139323637844212,0.2139323637844212,0.264114029363483,0.02400000000000001,0,0.2139323637844212,0,0.2377026264271347,1,9.536441984747759e-12,0.2139323637844212,0.264114029363483,0.2139323637844212,9.536441984747759e-12,0.2377026264271347,0.2377026264271347,0.2377026264271347,0.2139323637844212,0.2139323637844212,0.2139323637844212,8.582797786273379e-12,0,0.002578622536531124,0.2377026264271347,0.2377026264271347,0.2377026264271347,9.536441984747759e-12,0,0.002865136151707936,0.2377026264271347,0.2377026264271347,0.2139323637844212,0.02400000000000001,0.2400000000000001,1,
0.02600000000000001,0.003023870343569356,8.582797786273379e-12,0.003359855937306317,9.536441984747759e-12,0.2313724967029397,0,0.2570805518921552,0,0.2600000000000001,0.2570805518921552,0.2313724967029397,0.2313724967029397,0.2856450576579503,0.02600000000000001,0,0.2313724967029397,0,0.2570805518921552,1,9.536441984747759e-12,0.2313724967029397,0.2856450576579503,0.2313724967029397,9.536441984747759e-12,0.2570805518921552,0.2570805518921552,0.2570805518921552,0.2313724967029397,0.2313724967029397,0.2313724967029397,8.582797786273379e-12,0,0.003023870343569356,0.2570805518921552,0.2570805518921552,0.2570805518921552,9.536441984747759e-12,0,0.003359855937306317,0.2570805518921552,0.2570805518921552,0.2313724967029397,0.02600000000000001,0.2600000000000001,1,
