"time","powercon2.negFlow.y","powercon2.posFlow.y","powercon1.negFlow.y","powercon1.posFlow.y","der(powercon2.negFlow.y)","der(powercon2.posFlow.y)","der(powercon1.negFlow.y)","der(powercon1.posFlow.y)","signalsource1.pulse1.T0","signalsource1.pulse1.y","signalsource1.trapezoid1.T0","signalsource1.trapezoid1.y","signalsource1.sine1.y","signalsource1.add3.u2","signalsource1.add3.u1","signalsource1.y","powercon2.posPower.y","powercon2.negPower.y","powercon2.negPower.u","powercon2.y","eta1.switch1.u3","eta1.switch1.u1","powercon1.posPower.y","powercon1.negPower.y","powercon1.negPower.u","signalsource1.pulse1.T_width","signalsource1.trapezoid1.counter2","signalsource1.trapezoid1.counter","eta1.switch1.u2","eta1.const.y","signalsource1.const.y","powercon1.negFlow.u","powercon1.posFlow.u","powercon1.gain2.u","powercon1.posPower.u","powercon1.u","powercon1.gain2.y","eta1.gain2.y","eta1.gain1.y","eta1.gain1.u","eta1.gain2.u","eta1.greaterequal1.u1","eta1.switch1.y","eta1.greaterequal1.u2","powercon2.negFlow.u","powercon2.posFlow.u","powercon2.gain2.u","powercon2.posPower.u","powercon2.u","powercon2.gain2.y","signalsource1.add2.y","signalsource1.add1.y","signalsource1.add3.y","signalsource1.add2.u2","signalsource1.add2.u1","signalsource1.add1.u2","signalsource1.add1.u1","eta1.y","eta1.u","powercon1.y","eta1.greaterequal1.y",
0.2549999996274711,0.2549999996274711,0,0.2524999997490073,0,1,0,0.9000000074505778,0,0,0,0.25,0.09999999254942216,0,0,-0.9000000074505778,-0.9000000074505778,0,1,1.00000000827842,-1.00000000827842,-1.00000000827842,-0.8100000067055201,0,0.9000000074505778,0.9000000074505778,0.5,-1,-1,0,0,0.25,0.9000000074505778,0,-0.9000000074505778,-0.9000000074505778,-0.9000000074505778,0.9000000074505778,-1.00000000827842,-0.8100000067055201,-0.9000000074505778,-0.9000000074505778,-0.9000000074505778,-1.00000000827842,0,1,0,-1.00000000827842,-1.00000000827842,-1.00000000827842,1.00000000827842,0,-0.9000000074505778,-0.9000000074505778,0,0,0.25,0.09999999254942216,-1.00000000827842,-0.9000000074505778,-0.9000000074505778,0,
0.2550000003725292,0.2550000003725292,0,0.2525000001215363,0,0.9999999917215738,0,0.8999999925494164,0,0,0,0.25,0.1000000074505836,0,0,-0.8999999925494164,-0.8999999925494164,0,0.9999999917215738,0.9999999917215738,-0.9999999917215738,-0.9999999917215738,-0.8099999932944748,0,0.8999999925494164,0.8999999925494164,0.5,-1,-1,0,0,0.25,0.8999999925494164,0,-0.8999999925494164,-0.8999999925494164,-0.8999999925494164,0.8999999925494164,-0.9999999917215738,-0.8099999932944748,-0.8999999925494164,-0.8999999925494164,-0.8999999925494164,-0.9999999917215738,0,0.9999999917215738,0,-0.9999999917215738,-0.9999999917215738,-0.9999999917215738,0.9999999917215738,0,-0.8999999925494164,-0.8999999925494164,0,0,0.25,0.1000000074505836,-0.9999999917215738,-0.8999999925494164,-0.8999999925494164,0,
0.2999999993294478,0.2774999993324501,0,0.2727499991854652,0,1.490116079910169e-08,0,1.341104471919152e-08,0,0,0,0.25,0.9999999865889553,0,0,-1.341104471919152e-08,-1.341104471919152e-08,0,1.490116079910169e-08,1.490116079910169e-08,-1.490116079910169e-08,-1.490116079910169e-08,-1.206994024727237e-08,0,1.341104471919152e-08,1.341104471919152e-08,0.5,-1,-1,0,0,0,1.341104471919152e-08,0,-1.341104471919152e-08,-1.341104471919152e-08,-1.341104471919152e-08,1.341104471919152e-08,-1.490116079910169e-08,-1.206994024727237e-08,-1.341104471919152e-08,-1.341104471919152e-08,-1.341104471919152e-08,-1.490116079910169e-08,0,1.490116079910169e-08,0,-1.490116079910169e-08,-1.490116079910169e-08,-1.490116079910169e-08,1.490116079910169e-08,0,-1.341104471919152e-08,-1.341104471919152e-08,0,0,0,0.9999999865889553,-1.490116079910169e-08,-1.341104471919152e-08,-1.341104471919152e-08,0,
0.3,0.2774999996677262,0,0.2727499994872136,0,0,7.993605777301127e-16,0,8.881784197001252e-16,0,0,0.25,1.000000000000001,0,0,8.881784197001252e-16,8.881784197001252e-16,7.993605777301127e-16,0,-7.993605777301127e-16,7.993605777301127e-16,9.86864910777917e-16,7.993605777301127e-16,8.881784197001252e-16,0,-8.881784197001252e-16,0.5,-1,-1,1,0,0,0,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,9.86864910777917e-16,7.993605777301127e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,7.993605777301127e-16,0,0,7.993605777301127e-16,7.993605777301127e-16,7.993605777301127e-16,7.993605777301127e-16,-7.993605777301127e-16,0,8.881784197001252e-16,8.881784197001252e-16,0,0,0,1.000000000000001,7.993605777301127e-16,8.881784197001252e-16,8.881784197001252e-16,1,
0.349999999254942,0.2774999996677262,0.04500027078353904,0.2727499994872136,0.05000030087059892,0,0.8999999865889553,0,0.9999999850988393,0,0,0.25,1.999999985098839,0,0,0.9999999850988393,0.9999999850988393,0.8999999865889553,0,-0.8999999865889553,0.8999999865889553,1.111111094554266,0.8999999865889553,0.9999999850988393,0,-0.9999999850988393,0.5,-1,-1,1,0,0.25,0,0.9999999850988393,0.9999999850988393,0.9999999850988393,0.9999999850988393,-0.9999999850988393,1.111111094554266,0.8999999865889553,0.9999999850988393,0.9999999850988393,0.9999999850988393,0.8999999865889553,0,0,0.8999999865889553,0.8999999865889553,0.8999999865889553,0.8999999865889553,-0.8999999865889553,0,0.9999999850988393,0.9999999850988393,0,0,0.25,1.999999985098839,0.8999999865889553,0.9999999850988393,0.9999999850988393,1,
0.35,0.2774999996677262,0.04500027145409534,0.2727499994872136,0.05000030161566148,0,0.9,0,1,0,0,0.25,2,0,0,1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,0,0.25,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,0,0,0.9,0.9,0.9,0.9,-0.9,0,1,1,0,0,0.25,2,0.9,1,1,1,
0.35,0.2774999996677262,0.04500027145409534,0.2727499994872136,0.05000030161566148,0,0.9,0,1,0,0,0.25,2,0,0,1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,0,0.25,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,0,0,0.9,0.9,0.9,0.9,-0.9,0,1,1,0,0,0.25,2,0.9,1,1,1,
0.3500000007450581,0.2774999996677262,0.04500027212464759,0.2727499994872136,0.05000030236071953,0,0.9,0,1,0,0,0.25,2,0,0,1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,0,0.25,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,0,0,0.9,0.9,0.9,0.9,-0.9,0,1,1,0,0,0.25,2,0.9,1,1,1,
0.4500000007450581,0.2774999996677262,0.1350002721246475,0.2727499994872136,0.1500003023607195,0,0.9,0,1,0,0,0.25,2,0,0,1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,0,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,0,0,0.9,0.9,0.9,0.9,-0.9,0,1,1,0,0,0,2,0.9,1,1,1,
0.4999999999999999,0.2774999996677262,0.1800002714540953,0.2727499994872136,0.2000003016156614,0,0.9,0,1,0,0,0.25,2,0,0,1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,0,0.25,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,0,0,0.9,0.9,0.9,0.9,-0.9,0,1,1,0,0,0.25,2,0.9,1,1,1,
