"time","powercon2.negFlow.y","powercon2.posFlow.y","powercon1.negFlow.y","powercon1.posFlow.y","der(powercon2.negFlow.y)","der(powercon2.posFlow.y)","der(powercon1.negFlow.y)","der(powercon1.posFlow.y)","signalsource1.trapezoid1.T0","signalsource1.trapezoid1.y","signalsource1.y","powercon2.posPower.y","powercon2.negPower.y","powercon2.negPower.u","powercon2.y","powercon1.posPower.y","powercon1.negPower.y","powercon1.negPower.u","eta1.switch1.u3","eta1.switch1.u1","signalsource1.trapezoid1.counter2","signalsource1.trapezoid1.counter","eta1.switch1.u2","eta1.const.y","signalsource1.const.y","eta1.gain2.y","eta1.gain1.y","eta1.gain1.u","eta1.gain2.u","eta1.greaterequal1.u1","eta1.switch1.y","eta1.greaterequal1.u2","powercon1.negFlow.u","powercon1.posFlow.u","powercon1.gain2.u","powercon1.posPower.u","powercon1.u","powercon1.gain2.y","powercon2.negFlow.u","powercon2.posFlow.u","powercon2.gain2.u","powercon2.posPower.u","powercon2.u","powercon2.gain2.y","signalsource1.add1.u1","signalsource1.add1.u2","signalsource1.add1.y","eta1.y","eta1.u","powercon1.y","eta1.greaterequal1.y",
0.4,0.03,0.18,0.03,0.2,0.2,0,0.2,0,0,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.18,8.025258334141332e-265,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.18,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,8.025258334141332e-265,-0.2,-0.2,-0.2,-0.2,0,
0.5,0.04999999999999998,0.18,0.04999999999999998,0.2,0.2,0,0.2,0,0,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.18,0.03,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.18,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,0.03,-0.2,-0.2,-0.2,-0.2,0,
0.5,0.04999999999999998,0.18,0.04999999999999998,0.2,0.2,0,0.2,0,0,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.18,0.03,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.18,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,0.03,-0.2,-0.2,-0.2,-0.2,0,
0.5,0.04999999999999998,0.18,0.04999999999999998,0.2,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.18,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.18,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,1,
0.5,0.04999999999999998,0.18,0.04999999999999998,0.2,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.18,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.18,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,1,
0.500000000745058,0.04999999999999998,0.1800000005364419,0.04999999999999998,0.2000000005960465,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.1800000005364419,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.1800000005364419,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,1,
0.600000000745058,0.04999999999999998,0.2520000005364418,0.04999999999999998,0.2800000005960465,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.2520000005364418,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.2520000005364418,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,1,
0.700000000745058,0.04999999999999998,0.3240000005364418,0.04999999999999998,0.3600000005960465,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.3240000005364418,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.3240000005364418,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,1,
0.7499999992549419,0.04999999999999998,0.3599999994635582,0.04999999999999998,0.3999999994039536,0,0.7200000000000001,0,0.8,0.5,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.3599999994635582,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.3599999994635582,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,0.04999999999999998,0.8,0.7200000000000001,0.8,0.8,1,
0.75,0.04999999999999998,0.36,0.04999999999999998,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,0.04999999999999998,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,0.04999999999999998,-0.2,-0.2,-0.2,-0.2,0,
0.75,0.04999999999999998,0.36,0.04999999999999998,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,8.025258334141332e-265,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,8.025258334141332e-265,-0.2,-0.2,-0.2,-0.2,0,
0.750000000745058,0.0500000001490116,0.36,0.0500000001490116,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,8.025258334141332e-265,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,8.025258334141332e-265,-0.2,-0.2,-0.2,-0.2,0,
0.8000000007450579,0.06000000014901158,0.36,0.06000000014901158,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,0.0500000001490116,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,0.0500000001490116,-0.2,-0.2,-0.2,-0.2,0,
0.9000000007450579,0.08000000014901157,0.36,0.08000000014901157,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,0.06000000014901158,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,0.06000000014901158,-0.2,-0.2,-0.2,-0.2,0,
1,0.09999999999999999,0.36,0.09999999999999999,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,8.025258334141332e-265,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,8.025258334141332e-265,-0.2,-0.2,-0.2,-0.2,0,
1,0.09999999999999999,0.36,0.09999999999999999,0.4,0.2,0,0.2,0,0.5,0,-0.2,0,0.2,0.2,-0.2,0,0.2,0.2,-0.2,-0.18,-1,-1,0,0.36,8.025258334141332e-265,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,0.36,0.2,0,-0.2,-0.2,-0.2,0.2,0.2,0,-0.2,-0.2,-0.2,0.2,0,8.025258334141332e-265,-0.2,-0.2,-0.2,-0.2,0,
1,0.09999999999999999,0.36,0.09999999999999999,0.4,0,0.7200000000000001,0,0.8,1,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.36,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.36,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,1,
1,0.09999999999999999,0.36,0.09999999999999999,0.4,0,0.7200000000000001,0,0.8,1,1,0.8,0.7200000000000001,0,-0.7200000000000001,0.7200000000000001,0.8,0,-0.8,0.8,0.7200000000000001,-1,-1,1,0.36,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,0.8,0.7200000000000001,0.36,0,0.8,0.8,0.8,0.8,-0.8,0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,-0.7200000000000001,1,8.025258334141332e-265,0.8,0.7200000000000001,0.8,0.8,1,
